external_id;name;description
3367;Safran La vraie nature des choses;"La Vraie Nature des Choses est née dun passion plurielle. Celle de la nature, celle de la terre, celle de la gastronomie.

Les sols de la Salanque ont toujours été riches : vignes, oignons, artichauts, salades, abricots rivalisent de saveurs depuis des décennies. Mais il manquait à ce tableau végétal une culture ancestrale, quasi mythique, celle du safran, du vrai safran.

Tout commence en 2016 où je décide de rendre à nos quelques ares de terrain libres ses lettres de noblesse, celles de la culture. Un petit test de quelques mètres carrés, très concluant, et la grande aventure démarre !

Aujourd'hui je produis un safran de grande qualité puisque il est certifié Catégorie 1 selon la norme iso 3632.
Je suis dans ma 2e année de conversion Bio ecocert"
1169;La miellerie du Cambre;"Exploitation apicole située à Eyne village dans les Pyrénées Orientales. 
Vente sur place et sur les marchés locaux de miel et autres produits de la ruche."
2942;Domaine de la Plaine;"Domaine viticole familial de 20 ha cultive de facon traditionnelle et raisonnee. Situe sur la partie la plus orientale de la zone AOP Muscat de Frontignan.
Nous vous accueillerons personnellement au milieu de nos vignes pour vous faire decouvrir notre metier et toute la gamme de notre production."
3802;FERME PANCOUSSE;"Ferme familiale, eleveurs de volailles (Poulets, Pintades, Chapons et poules pondeuses). Elevage des le premier jour de nos volailles sur la ferme.
Productions des cereales sur nos terres.
Transformation directement sur la ferme et vente sur les marches de plein vent."
1655;Laurent  Miquel;La famille Miquel possédait déjà des vignes en Languedoc sous lAncien Régime. Puis elle reprit en 1791 le domaine Cazal Viel, exploité par les moines de lAbbaye de Fontcaude. Ces générations passées nous ont transmis une grande expérience. Installés au cur du Languedoc viticole, nous connaissons désormais nos terroirs sur le bout des doigts. Nous privilégions dans nos vignes les cépages nobles, la Syrah et le Viognier, qui sont les mieux adaptés à notre terroir.
2229;Chateau des Mouchères;"Le Château des Moucheres, situé sur la commune de St Mathieu de Tréviers est  adossé aux premiers contreforts cévenols.

Le domaine appartient à la famille depuis la fin du XVIIe siècle. De nos jours, Jean-Philippe TEISSEDRE exploite le vignoble dune superficie de 28 hectares dont 1/3 en AOC Pic St Loup.

Nous vous proposons une gamme de vins complexes et typés, fruit dun savoir faire ancestral respectueux du terroir et de lenvironnement."
1703;WINES TREE;Situé au cur de la région Provence l'entreprise sélectionne , développe et commercialise certains des meilleurs vins français dans toute l'Europe , le Japon , l'Australie , les États- Unis et le Mexique .
2314;Domaine de Pouzac;Domaine viticole de 35ha situé dans l'Hérault. Je produis des rouge, rosé et blanc en IGP Oc et Côtes de Thongue
775;LA CAVE A MIEL;Apiculteurs transhumants, nous sommes specialises dans la production des miels singuliers de la region Languedoc-Roussillon. Une gamme de miel rares, issus de sites naturels preserves.
1826;Château Tourril;Le château Tourril tire ses origines dune ancienne tour Gallo-romaine située sur les hauteurs de la propriété. Le vignoble, repris en 1998 par deux passionnés de vin, nous donne des vins fruités et ensoleillés, aux parfums de garrigue.
3298;plumeria passion;"Notre petite exploitation à échelle humaine se situe dans lHérault. Nous nous efforçons de produire nos plants nous même afin de garantir une traçabilité et une qualité optimale.
Nos plants sont issus de graines ce qui laisse de belles surprises lors de la première floraison. Chaque frangipanier (plumeria) issu de graines est unique et peut avoir une couleur et une odeur vraiment différente de sa plante mère.
Si vous souhaitez une variété précise nous procédons par bouture pour vous garantir une floraison identique à celle proposée. Nos stocks de boutures sont très limités. Nous privilégions les graines afin de créer de nouvelles variétés. Par expérience nous trouvons les plans issus de graines bien plus vigoureux et robustes que les boutures.
Nous produisons à 100% nos frangipaniers.
Produits en France ils sont acclimatés et résistent mieux au froid (3°c min)
Vous pouvez nous retrouver sur de nombreux marchés du sud de la France durant la période estivale. Nous avons fait le choix de favoriser un commerce de proximité pour développer léconomie locale."
3454;Maison Bot;"A Fraïssé des Corbières nous cultivons 1500 oliviers. C'est une culture non irriguée, pour protéger la ressource en eau et garantir une huile de qualité. Pour favoriser la biodiversité quelques ruches sont installées et permettent une production de miel, ainsi qu'une centaine d'amandiers.

En 2019 nous avons enrichi notre gamme avec des baumes et huile de massage à base de notre huile d'olive vierge extra et notre cire d'abeille"
2405;Les Vergers du Canigou;"Fruits de saison, Sorbets divers, Nectars, Jus de fruits, Fruits rouges, confitures.
Bûches de Noël et Assiettes gourmandes glacées. 
Médaillé d'argent  pour sa Confiture et nectar d'abricots, lors du Concours du 7 juin 2010, organisé par La Chambre Régionale dAgriculture, en partenariat avec la Fédération Régionale de lAgriculture Biologique"
2066;Domaine des Païssels;Petite propriété de 4ha en développement. Nous sommes situé sur les coteaux de schiste de Saint-Chinian. Nous avons débuté notre activité en 2011 afin de valoriser des vieilles vignes en côteau. Nous nous sommes logiquement orientés vers la production de vin rouge qualitatifs commercialisés uniquement en bouteilles.
1726;Chateau Stony;Production de vin en Agriculture Biologique. Depuis récolte 2014, depuis 2011 en conversion
1710;CHEVAL QUANCARD;"Viticulteur et négociant-éleveur depuis 1844, 
Cheval Quancard sélectionne, vinifie et élève avec la plus grande exigence les meilleurs cru des vignobles bordelais."
1091;Les Vins Famille Valery;"Vignerons de pere en fils, la Famille Valery depuis 3 generations a la production de GRANDS VINS DU LANGUEDOC. 

En 1956 Gilbert VALERY achete un premier domaine de 30 Ha.
En 1974 ses deux enfants, Patricia et Michel VALERY, reprennent en charge le domaine afin de poursuivre son uvre. Ils continuent l'aventure par la mise en place d'une conduite raisonnee du vignoble en 1989. 

En plus d'exploiter le historiquement 'Domaine des Deux Ruisseaux', la famille reprend la production du 'Chateau Le Thou' et accompagne cette volonte d'elaborer de grands vins par la construction en 2008 d'un chai a barriques et de stockage de bouteille. Recherchant sans cesse l'innovation, la Famille Valery developpe aussi une gamme de vins sucres nommee EDEN et dotee d'un habillage contemporain. 

Aujourd'hui les vignobles de la Famille Valery sont plantes en cepages nobles aromatiques : Chardonnay, Sauvignon, Viognier, Muscat, Merlot, Syrah, Cabernet-Sauvignon, Grenache Noir, Carignan, Petit Verdot, Roussanne, Marsanne, Petit Manseng et Grenache Blanc.

La Famille VALERY, entouree d'une equipe tres competente, par sa soif d'innovations et sa recherche constante de l'excellence, a permis aux domaines de tendre vers une evolution qualitative des vins et une conduite raisonnee du vignoble.

Les efforts poursuivis pendant 20 ans ont amene en 2001 la Famille VALERY a mettre ses meilleurs crus en bouteille."
2004;Domaine La Servelière;Joël Berthomieu est le représentant de la cinquième génération de vignerons de sa famille. Il produit des AOC Saint-Chinian en rouge, rosé et blanc, dont certains sont élevés en fût de chêne.
3626;Neograine;"Je suis productrice de micro-vegetaux a Tarbes specialise dans les micro-pousses de legumes et cereales.

Cultivees sans additif, ni produit phytosanitaire, les semences, terreaux sont issues de l'agriculture biologique. 

Super aliment et ultra-frais, Les micro-pousses sont ces petites feuilles que l'on croque au premier stade du developpement de la plante.
Petit tresor, riche en nutriments , avec leurs saveurs affirmees, leurs couleurs pimpantes, leurs delicatesses dans l'assiette, elles ont conquis les gourmets.

Agrementez tous vos mets : Assaisonnement, crudite, cocktail, cereale, dessert, garniture, soupe, grillade, jus, pizza, salade, sandwich, saute, pesto, smoothie, toast, aperitif...

Les micro-vegetaux sont un art comestible que vous allez adorer. Ces petites pousses sublimeront vos plats tout en leur apportant une touche concentree de nutriments."
3073;les viandes de la métairie;"au pied des pyrénées,exploitation de vaches allaitantes en race blonde d'aquitaine  conduite en agriculture biologique depuis 2010 et pratiquant  la vente directe depuis 2004
50 mères avec la suite et un troupeau de 350 chèvres laitières 
dont le lait est récupéré par la laiterie FAUP dans l'ariège 
nous sommes deux a travailler sur l'exploitation :mon épouse et moi, notre fils nous rejoint au printemps"
1318;DOMAINE DE LA DOURBIE;"Vignoble familial depuis 1781, situé au pied des Causses du Larzac, le vignoble est entouré par deux rivières, l'Hérault et La Dourbie. Notre philosophie affiche une culture respectueuse de l'environnement, biologique depuis 2009, de faibles rendements, des vendanges manuelles et une vinification traditionnelle.

Large gamme de vins rouge, blanc et rosé en IGP d'Oc et AOP LANGUEDOC."
2354;MOULIN A HUILE DE LA CHARTREUSE;"Le Moulin à Huile de la Chartreuse a été fondé en 1358 par l'Ordre des Chartreux, avec la bénédiction du Pape Innocent VI. Il est résolument ancré dans l'histoire de son terroir gardois.
La Boutique, le site de production ainsi que notre Bistrot sont labellisés Qualité Tourisme - Sud de France.
Nous sommes ouvert 7j/7 de 7h30 à 20h toute l'année et nous sommes toujours ravis de recevoir les visiteurs de tout horizon."
2721;la chèvre baillarguoise;chèvrerie
1258;Huilerie Cooperative De Beaucaire;"Beaucaire, ville dart & dhistoire, a la limite du Languedoc et de la Provence, sur la rive droite du Rhone, au cur du triangle d'or Nimes, Arles et Avignon, est la region ou l'Olivier et la Vigne regnent en maitres.

Creee en 1924, lHuilerie Cooperative de Beaucaire se situe a deux pas du Chateau feodal et sa tour triangulaire.
Cest le plus ancien atelier de transformation dolives en huile de Beaucaire et des communes gardoises environnantes.

Cest dans ce cadre exceptionnel que la cooperative se renouvelle sans cesse, afin dobtenir ce precieux nectar dore, regulierement recompense lors de concours oleicoles.

Aujourdhui, nous sommes ravis de pouvoir vous accueillir sur notre site et vous faire decouvrir notre gamme de produits autour de lolive et lhuile dolive.
Une invitation au voyage autour des sens ; dun confit de tomates sechees, aux saveurs naturellement poivrees de nos huiles en passant par nos preparations culinaires a base dhuile dolive.
Nous comptons sur vous pour faire evoluer notre site a travers vos commentaires et suggestions, afin de preserver une eternelle jeunesse a notre cooperative."
624;Cabrol La Salvetat;"Charcuterie artisanale depuis 1990, 5ème génération, située au coeur du parc régional du haut Languedoc.
Tous nos produits de salaison sont séchés à l'air libre et au feu de bois.
Toute notre production est VPF (Porc français), transformée dans la plus pure tradition salvetoise avec des recettes d'antan."
2287;GAEC LE RUCHER DES ARTS;"Visites regulieres organisees avec les Offices de Tourismes des alentours: Lamalou Les Bains, Bedarieux, Saint Gervais Sur Mare.

Venez decouvrir notre exploitation agricole traditionnelle dans un esprit de partage.
Au cur des forets de chataigniers, en montagne heraultaise, Lilian satisfera votre curiosite aux sujets des chataignes et du miel."
781;Château Hortala;"Au coeur du vignoble des Corbières notre domaine entoure le petit village de Cruscades dans l'Aude. Il appartient à la même famille depuis plusieurs siècles. Un beau terroir, un encépagement harmonieux, la recherche de la qualité conduisent à l'élaboration de vins d'excellence plusieurs fois récompensés.
Le domaine possède 46 hectares de terres dont 36 sont exploités en vignes  (29 ha AOP et 7 ha IGP)."
3077;NEPTUNE3;Navire petit métier basé au Grau d'Agde, je pratique différents métiers en fonction des saisons pour amener un produit extra-frais aux consommateurs.
1505;Domaine de l'Arjolle;Le domaine de l'Arjolle, domaine familial depuis 4 générations, est situé à Pouzolles, au cour des côtes de Thongue. Chaque génération a participé au renouvellement du vignoble pour l'inscrire dans une démarche d'agriculture raisonnée, à la modernisation et au développement du domaine afin de proposer des vins de qualité.Le domaine de l'Arjolle cultive 90Ha de vignes aux terroirs très variés. Toute la vinification est réalisée à la propriété. Les  vins font l'objet d'un vieillissement en barriques, en fondues ou en cuves.
1236;MAS CONSCIENCE;"Depuis 2003, à Saint-Jean-de-Fos dans lHérault, le domaine sinscrit dans lesprit des Terrasses du Larzac : rechercher léquilibre et la finesse dun vin plutôt que la puissance.

Nos vignes sont exclusivement cultivées en bio et biodynamie : respect des cycles de vie de la plante, taille courte, tri sur le rang, vendanges à la main"
3203;Ferme de la Bouriette;"Bienvenue a la ferme de la Bouriette

Je m"
3482;BDQ Beer Co.;"L'aventure BDQ Beer Co. a deja une longue histoire.
Nous fabriquons nos bieres au coeur de la campagne francaise. Notre premiere brasserie, et le Taproom ouvert en 2012 dans le petit village de Puivert.
Aujourd'hui, nous faisons notre bieres a Chalabre et nous vendons nos bieres dans toute la France.
Notre but etait de creer des Saisons, IPAs et Stouts passionnants - bieres artisanales issues de productions de qualite. Nous sommes vraiment fiers de notre reputation pour les bieres de excellentes saveurs et une qualite constante. Il y a plus de 28 references differentes en rotation - avec les varient de degres d'alcool de 3.5% a 12%. Il ya beaucoup a decouvrir. Nos bieres en fut apportent une dimension supplementaire.

A notre Puivert <BDQ Taproom>, vous y trouverez un accueil chaleureux et une vue magnifique. Et toujours les bonne bieres.
#brasserieduquercorb #puivert #chalabre #biereartisanale"
1199;BLB Vignobles;BLB Vignobles offre des vins de maison à partager avec vos amis et votre cuisine préférée. Derrière les bouteilles des Domaine de la Jasse et Montlobre se cache Bruno Le Breton : fin technicien des vins, il est précurseur de la Responsabilité Sociétale des Entreprises et de l'agriculture durable. De la Haute Valeur Environnementale à la Responsabilité Sociétale des Entreprises, chaque choix réalisé de la vigne à la cave en passant par le bureau est évalué selon son impact social, environnemental et économique. Voilà pourquoi vous serez dautant plus heureux douvrir les bouteilles de la Jasse et Montlobre : pour le plaisir de vos papilles, et le choix dune maison familiale engagée.
1004;Saveurs Des Saisons;"Découvrez nos productions méditerranéennes : abricots, légumes de plein champs et sous abris, plantes fleuries et plants maraîchers. Notre point d'accueil est située au coeur de nos productions.

Exploitation agricole créée en 2005 dans un verger d'abricotier. Maraîchage en plein champ en agriculture raisonnée. Pépinière de plantes méditerranéennes en pot.

Productions de la ferme : maraîchage, abricots et plantes méditerranéennes, plants maraîchers"
3201;BLANC DES HAUTES PYRENEES;Un collectif local à taille humaine 100% Hautes-Pyrénées, de 19 exploitations laitières familiales, engagé dans une démarche responsable.
3622;LE SALON DE VAUBAN;"Creation de produits d'epicerie fine a base de whisky BLACK MOUNTAIN multi medailles, realises, en circuit-court, par des artisans producteurs reconnus en d'Occitanie pour leurs savoirs faire.
Gelee de whisky aux paillettes d'or
Creme de marron au whisky
Caille fourree au foie gras et au whisky
Rillettes pur canard au whisky
Foie gras au whisky
Chocolat a la liqueur de WHISKY
Le rdv des gourmets les plus exigeants"
1691;DOMAINE DE LONGUEROCHE;"Le DOMAINE DE LONGUEROCHE sétend sur 30 ha de sols de type argilo-calcaire et grès ferrugineux (à 8 km de la mer méditerranée et protégé de celle-ci par le massif du bois du vicomte) balayés par les vents marins et du nord et inondés de soleil une très grande partie de lannée.

Le nom du domaine rappelle celui du village où il est implanté, Saint-André-de-Roquelongue. La commune doit elle-même son nom à une barrière rocheuse derrière laquelle les vignes plongent leurs racines dans le massif de Fontfroide. Un terroir particulier, par sa topographie - fait de collines en pente douce dont les plus hautes sont coiffées de chênes et de pins - par ses sols gréseux légers, et par la relative fraîcheur de son climat (comme l'indique le nom Fontfroide ou 'fontaine froide').
En s'installant en 1986 dans son village natal, au pied de la barre rocheuse de Roquelongue, Roger Bertrand a trouvé sa voie. Diplômé en droit, il cherche un local pour y créer une agence d'assurance, avant d'opter pour un commerce d'antiquités. Sa passion pour le vin l'emporte finalement. Le voilà vigneron. 
En créant son propre domaine en 1995, Roger Bertrand réalise le rêve de son père, viticulteur en coopérative.

Le domaine produit des vins de pays dOc  (merlot, cabernet sauvignon, chardonnay, viognier) et des Vins dappellations dorigine contrôlée Corbières (carignan, grenache, cinsault, mourvèdre et grenache blanc).

La vigne y est cultivée dans la tradition sans engrais ni produits chimiques.
Les raisins sont vendangés à la main, les rendements sont très faibles.
 
La vinification, lélevage en fût de chêne français et la mise en bouteille ont lieu au Domaine.

Les vins du DOMAINE DE LONGUEROCHE sont régulièrement analysés après chaque mise en bouteille, ils ne contiennent aucun pesticide.
Ces vins sont cités dans de nombreuses revues et guides : guide Hachette, Gilbert & Gaillard, Guide Hubert, RVF et sont régulièrement médaillés : Mondial du Rosé, concours des Grands Vins de France, Concours International de Lyon, challenge International du Vin"
1403;La Croix Gratiot;"Situé entre Bassin de Thau et collines de pins, le vignoble de la Croix Gratiot se trouve sur la commune de Montagnac.
3 Hectares de vignes implantées sur un sol argilo-calcaire bénéficient des Alizés marins et des senteurs de la garrigue.
Ce microclimat permet au raison d'atteindre une maturité optimale et lors des différentes vinifications d'exprimer pleinement la typicité des cépages et du terroir."
3015;FERMIERS DU GERS;Fermiers du Gers a été créé en 2011, issu du rassemblement des deux abattoirs du département au sein du groupe Fermiers du Sud-Ouest.  Les deux abattoirs Gersois créés dans les années 60 ont réussi à évoluer et ont su se renouveler tout en gardant leur savoir-faire. Certifiés IFS, la priorité est donnée sur le respect des normes d'hygiène et le bien-être animal.
786;Dulsa France;Dulsa France commercialise avec sa marque BONBEST, des chouchous de fabrication artisanale, de la pâte vanillée, des pralines aux amandes et des Bienfaisant.
3171;DOMAINE LAGUILLE;"Le Domaine Laguille est une propriete familiale qui produit et commercialise des vins IGP Cotes de Gascogne, des Bas Armagnacs et des Flocs de Gascogne.
Outre sa gamme traditionnelle de vins et darmagnacs, le domaine a developpe depuis quelques annees des produits originaux, tels que le vin blanc demi-sec « La Rencontre » (Sauvignon  Gros Manseng  Petit Manseng), et une gamme de Bas Armagnacs « Small Batch » en edition limitee et numerotee."
3170;DOMAINE LE PASSELYS;Domaine viticole familial de 9 hectares, au coeur de l'appellation Cahors.
1429;CHATEAU DU VIEUX PARC;"Propriété familiale depuis 5 générations
Cave particulière produisant des AOP Corbières et des Vins de Pays.
Culture raisonnée. Dégustation et vente au domaine"
3096;Coopérative fromagère de Thérondels;"Créée en 1946, la Coopérative Fromagère de Thérondels située sur le plateau du Carladez (Nord Aveyron), collecte 4 millions de litres de lait auprès de ses 18 fermes.
Ces agriculteurs sont engagés dans une démarche de production de qualité :
 le lait cru, produit selon un cahier des charges exigeant,
 lalimentation des vaches : lherbe pâturée, le foin et les céréales (ensilage et enrubannage interdits)."
2496;Chateau Clamens;"Depuis 4 generations, les 25 ha de vignes du Chateau Clamens s'epanouissent sur le magnifique terroir de Fronton, pres de Toulouse. 

Rien n'est laisse au hasard afin de produire des vins dun niveau dexigence et de qualite exceptionnels: travail meticuleux, lutte raisonnee, cuverie moderne.

La Negrette, notre cepage emblematique, est a la base de tous nos assemblages. Sa complexite aromatique nous permet tout autant de proposer des vins accessibles et gourmands que des vins plus complexes avec des tannins soyeux."
3924;Domaine Emile & Rose;"Le domaine Emile & Rose est cultive en bio a Corneilhan depuis 2001. 
Le vignoble familial de Marc Royo, artisan-vigneron independant, s'etend sur 27 hectares en petits coteaux de cepages mediterraneens, typiques ou rares, de faible rendement. 
Au debut du siecle, c'est le domaine d'Emile & Rose qui a popularise le vin orange en France - apres un voyage en Georgie a la decouverte de la vinification antique en amphore du Caucase. 
En 2020, un site de vente en ligne a ete cree et un caveau de vente directe au public amenage dans les murs du Domaine.
La specificite du domaine reste le vin du Languedoc eleve en amphore, le fameux Carignan blanc plante par les aieux et le vin orange qui reunit les deux.
La vendange est manuelle, la vinification naturelle et l"
2167;CRIEE DE SETE;"La criée de Sète commercialise les apports de 80 bateaux de pêche dont une dizaine de chalutiers pour 2 816 tonnes de poisson en 2014, et un volume de vente de 11 millions deuros environ.
Première Criée informatisée dEurope, elle a servi dexemple pour la création ou la modernisation de nombreuses criées (Port de Bouc, Arcachon ).
A ce jour, 116 Acheteurs dont une dizaine de mareyeurs participent aux enchères montantes et descendantes.
La criée dispose, depuis sa mise en place, de deux appontements et de 11 postes de débarquement pour les produits de la pêche.
En 2014, les 10 espèces les plus vendues en criée ont été :
Merlu
Baudroie (lotte)
Daurade
Poulpe
Rouget
Anchois
Encornet/calamar
Capelan
Sole
Loup (bar)"
2740;Domaine la Ventaillole;Vignoble de 4 hectares en culture biologique depuis 1999, en cave particulière, produisant vins rouges, rosé, liquoreux...
2353;Domaine Pons Gralet;Un exploitation à taille humaine : 9 hectares de vignes et 2 hectare d'oliviers, menée en culture biologique depuis 2003 sur les côteaux ensoleillée de la Vallée de l'Agly. Les vendanges sont manuelles et la vinification la plus naturelle possible. Toute notre production est mise en bouteille. Nous faisons 12 cuvées en rouge (Côte du Roussillon Village, TAutavel), blanc , rosé et Vin Doux (Rivesaltes, Maury). Nous sommes adhérents d'accueil paysan pour rencontrer notre clientèle désireuse d'authenticité et de valeur écologique. Nous proposons une balade vignerone pour découvrir la culture biologique et ce fabuleux terroir de la Vallée de l'Agly, ainsi qu'un accueil camping-car dans nos vignes. Toute rencontre se termine, chez nous au cellier par une dégustation de nos vins. A bientôt
1168;DOMAINE DES CEDRES;Le vignoble est situe dans le Gard a ST NAZAIRE 30200 . Dominique Pons a repris en 1968 le domaine  de son grand pere et il a entierement convertis en agriculture biologique. Dans une suite, Nicolas et Julie ont repris celui-ci depuis septembre 2018 et poursuive cette ethique du BIO. A ce jour, nous produisons des COTES DU RHONE ,COTES DU RHONE VILLAGES, IGP GARD .
2815;Soldive;
1576;Chateau Montpezat;Domaine viticole familial 40 ha dont 35 en vignes, en culture biologique. Ventes en bouteilles environ 120000 et en vrac. Vin AOP et IGP.
2751;Domaine de la Vaillere;"Le domaine de la Vaillere a ete repris par la SAS Dumaco en 2017 . Il a ete cree par Sebastien Plagne il y a une dizaine d'annees . Les vins du domaine sont fabriques artisanalement et avec soin : vendanges manuelles et a pleine maturite, selection des parcelles, vinification avec de faibles quantites de sulfites,  dans une petite cave a taille humaine qui produit environ 40000 bouteilles par an.
Sebastien est reste le maitre vinificateur de nos vins, ce qui permet au domaine d'avoir une continuite dans la qualite et le savoir faire.
Notre famille de vignerons, installee a Saint Jean de Serres depuis 4 generations, a choisi de se lancer dans cette aventure comme le faisaient deja le grand pere et arriere grand pere qui exploitaient leur propre cave particuliere.
Sebastien est toujours le maitre vinificateur de nos vins , ce qui permet au domaine d'avoir une continuite dans la qualite et le savoir faire . 
Dumaco est l'association de 3 membres d'une meme famille de vignerons a Saint Jean de Serres depuis 4 generations qui ont voulu se lancer dans cette aventure de cave particuliere comme le faisait deja le grand pere et arriere grand pere."
3145;mas des rompudes;Domaine viticole familial recoltant vinifiant produisant 8000 bouteilles par an, IGP herault BLANC ROSE et ROUGE
1355;MAS DES QUERNES;"Ce vignoble d'une superficie de 12 hectares peut être décomposé en trois parties : le plateau, des terrasses et la petite vallée. L'ensemble est dominé par l'imposant Mont Baudile qui tempère les excès climatiques.

Les parcelles Ruches, Plan et Villa Romaine s'étendent sur cinq hectares d'un sol caillouteux. Le sous sol reste bien alimenté en eau. Les cépages mourvèdre, carignan, grenache se trouvent sur ce plateau, un terroir apte à exprimer leurs qualités.

Les parcelles Nabout, Jumeaux, Levant, Ponant, Guinet, Grand Travers, Hermes et Cades se trouvent sur les terrasses étroites, nées de l'effondrement du cône d'épandage constituant le plateau.

Des lentilles de galets siliceux et de marnes créent une hétérogénéité sur certaines de ces parcelles. Le cinsault y trouve sa meilleure place mais grenache et merlot s'y comportent remarquablement.  

Sur les basses terrasses essentiellement constituées de marnes jaunes se trouvent les parcelles d'En Bas, Feuilles Mortes, Poiriers, Blaireau et Armand. Nous compensons la vigueur plus grande de ces vignes par un enherbement raisonné.

Les cépages merlot, carignan, syrah et Mourvèdre produisent des vins rouges fruités, plus légers."
3712;jimmy gourmet;"Jimmy gourmet, c'est simplement la rencontre entre l'audace d'un cuisinier et la passion du geste d'un artisan.
Foie gras prime lors du concours de l'Herault gourmand."
